timestamp,event
2025-10-08 22:50:12,Connected to COM5
2025-10-08 22:50:12,✅ Failsafe cleared after heartbeat recovery
2025-10-08 22:50:29,SET: target_temp → 25.00°C
2025-10-08 22:50:32,CMD: pid → start
2025-10-08 22:50:32,🚀 Asymmetric PID started
2025-10-08 22:51:11,"ASYMMETRIC_CMD: set_output_limits → {'heating': 100.0, 'cooling': 100.0}"
2025-10-08 22:51:52,SET: target_temp → 20.00°C
2025-10-08 22:51:52,❄️ Switched to cooling mode
2025-10-08 22:52:23,SET: target_temp → 36.00°C
2025-10-08 22:52:23,Emergency stop engaged
2025-10-08 22:52:23,🚨 Safety margin exceeded during cooling
2025-10-08 22:52:38,CMD: pid → stop
2025-10-08 22:52:38,⏹️ Asymmetric PID stopped
2025-10-08 22:52:45,CMD: pid → stop
2025-10-08 22:52:45,⏹️ Asymmetric PID stopped
2025-10-08 22:52:48,Disconnected
